Таблица сравнения ТЗ и ПЗ
(развернутая, с построчной проверкой позиций)
Легенда:
Раздел 1 – формальные критерии (техническая валидация XML, криптография, контрольные суммы)
Раздел 2 – организационные критерии (проверка субъектов, идентификационных данных)
Раздел 3 – специальные критерии (основная содержательная часть)
Раздел 4 – документы разделов 49, 50 и иные (проверяются только при наличии соответствующих требований в ТЗ, в завершающей стадии)

=== Таблица 1 ===
№ п/п | Источник в ТЗ (XML П12.1) | Сведения в ПЗ (XML П9.4)
2.1 | Титульный лист ТЗ: поле «Наименование объекта капитального строительства» | Титульный лист ПЗ: «Наименование объекта»
2.2 | Раздел 6.1 «Объект капитального строительства»: поле «Вид работ» | Титульный лист ПЗ: «Вид работ»
2.3 | Внутренняя система управления проектами / Номер контракта (договора) | Шифр раздела (формируется по ГОСТ Р 21.101-2020)
2.4 | – | Год выпуска документа (поле 12 титульного листа по ГОСТ Р 21.101-2020)
2.5 | Раздел 3 «Застройщик»: Полное наименование, ОГРН, ИНН, КПП, Адрес | Сведения о застройщике: Полное наименование, ОГРН, ИНН, КПП, Место нахождения и адрес
2.6 | Раздел 4 «Технический заказчик»: Полное наименование, ОГРН, ИНН, КПП, Адрес | Сведения о техническом заказчике: Полное наименование, ОГРН, ИНН, КПП, Место нахождения и адрес
2.7 | Раздел 5, подраздел «Генеральный разработчик проектной документации»: Полное наименование, ОГРН, ИНН, КПП, Адрес | Генеральный проектировщик: Полное наименование, ОГРН, ИНН, КПП, Место нахождения и адрес; Является членом СРО
2.8 | Раздел 5, подраздел «Субподрядные разработчики проектной документации»: Полное наименование, ОГРН, ИНН, КПП, Адрес | Сведения о лицах, принимавших участие в разработке (субподрядчики): Полное наименование, ОГРН, ИНН, КПП, Место нахождения и адрес; Является членом СРО
3 | Специальные критерии (основная содержательная часть) | 
3.1 | Исходно-разрешительная документация (обязательная) | 
3.1.1 | Раздел 2 «Основание для проектирования объекта»: перечень документов (№ п/п, наименование, реквизиты) | Основания для разработки проектной документации (пункт 10 ПЗ): № п/п, Наименование и реквизиты документа, Имя файла документа, Контрольная сумма файла
3.1.2 | Титульный лист ТЗ (Задание на проектирование) + раздел 50 (файл) | Задание на проектирование (в составе ИРД): Наименование и реквизиты, Имя файла, Контрольная сумма
3.1.3 | Раздел 50: Правоустанавливающие документы (Выписка из Единого государственного реестра недвижимости) | Правоустанавливающие документы: Выписка из ЕГРН – Наименование и реквизиты, Имя файла, Контрольная сумма
3.1.4 | Раздел 50: Иной правоустанавливающий документ | Иной правоустанавливающий документ – Наименование и реквизиты, Имя файла, Контрольная сумма
3.1.5 | Раздел 50: Градостроительный план земельного участка | Документы размещения объекта строительства: ГПЗУ – Наименование и реквизиты, Имя файла, Контрольная сумма
3.1.6 | Раздел 50: Проект планировки территории | Документы размещения объекта строительства: Проект планировки территории – Наименование и реквизиты, Имя файла, Контрольная сумма
3.1.7 | Раздел 50: Проект межевания территории | Документы размещения объекта строительства: Проект межевания территории – Наименование и реквизиты, Имя файла, Контрольная сумма
3.1.8 | Раздел 50: Согласование включения в границы территории, подлежащей комплексному развитию | Согласование включения в границы территории комплексного развития – Наименование и реквизиты, Имя файла, Контрольная сумма
3.1.9 | Раздел 50: Согласование при осуществлении строительства помещений для пограничного, таможенного и иных видов контроля | Согласование для пункта пропуска через госграницу – Наименование и реквизиты, Имя файла, Контрольная сумма
3.1.10 | Раздел 50: Заключение экспертизы проектной документации и/или результатов инженерных изысканий, выданное ранее в отношении этого же объекта | Заключения экспертиз: ранее выданное заключение – Наименование и реквизиты, Имя файла, Контрольная сумма
3.1.11 | Раздел 50: Заключение по результатам оценки соответствия в рамках экспертного сопровождения | Заключения экспертиз: экспертное сопровождение – Наименование и реквизиты, Имя файла, Контрольная сумма
3.1.12 | Раздел 50: Заключение государственной экологической экспертизы | Заключения экспертиз: экологическая экспертиза – Наименование и реквизиты, Имя файла, Контрольная сумма
3.1.13 | Раздел 50: Заключение государственной историко-культурной экспертизы | Заключения экспертиз: историко-культурная экспертиза – Наименование и реквизиты, Имя файла, Контрольная сумма
3.1.14 | Раздел 50: Сводное заключение о проведении публичного технологического аудита | Заключения экспертиз: технологический аудит – Наименование и реквизиты, Имя файла, Контрольная сумма
3.1.15 | Раздел 50: Заключение технологического и ценового аудита обоснования инвестиций | Заключения экспертиз: технологический и ценовой аудит – Наименование и реквизиты, Имя файла, Контрольная сумма
3.1.16 | Раздел 50: Заключение государственной экспертизы запасов подземных вод | Заключения экспертиз: экспертиза запасов подземных вод – Наименование и реквизиты, Имя файла, Контрольная сумма
3.1.17 | Раздел 50: Заключение государственной экспертизы запасов полезных ископаемых | Заключения экспертиз: экспертиза запасов полезных ископаемых – Наименование и реквизиты, Имя файла, Контрольная сумма
3.1.18 | Раздел 50: Иные заключения | Иные заключения экспертиз – Наименование и реквизиты, Имя файла, Контрольная сумма
3.1.19 | Раздел 15: Задание на проведение инженерных изысканий | Задания и программы: Задание на проведение инженерных изысканий – Наименование и реквизиты, Имя файла, Контрольная сумма
3.1.20 | Раздел 15: Программа инженерных изысканий | Задания и программы: Программа инженерных изысканий – Наименование и реквизиты, Имя файла, Контрольная сумма
3.1.21 | Раздел 15 + Раздел 50: Отчёт по инженерно-геодезическим изысканиям | Отчётная документация по результатам инженерных изысканий: Инженерно-геодезические изыскания – Наименование и реквизиты, Имя файла, Контрольная сумма
3.1.22 | Раздел 15 + Раздел 50: Отчёт по инженерно-геологическим изысканиям | Отчётная документация: Инженерно-геологические изыскания – Наименование и реквизиты, Имя файла, Контрольная сумма
3.1.23 | Раздел 15 + Раздел 50: Отчёт по инженерно-гидрометеорологическим изысканиям | Отчётная документация: Инженерно-гидрометеорологические изыскания – Наименование и реквизиты, Имя файла, Контрольная сумма
3.1.24 | Раздел 15 + Раздел 50: Отчёт по инженерно-экологическим изысканиям | Отчётная документация: Инженерно-экологические изыскания – Наименование и реквизиты, Имя файла, Контрольная сумма
3.1.25 | Раздел 15 + Раздел 50: Отчёт по инженерно-геотехническим изысканиям | Отчётная документация: Инженерно-геотехнические изыскания – Наименование и реквизиты, Имя файла, Контрольная сумма
3.1.26 | Раздел 15 + Раздел 50: Отчёт по геотехническим исследованиям | Отчётная документация: Геотехнические исследования – Наименование и реквизиты, Имя файла, Контрольная сумма
3.1.27 | Раздел 15 + Раздел 50: Отчёт по обследованию состояния грунтов оснований и строительных конструкций | Отчётная документация: Обследование состояния грунтов и конструкций – Наименование и реквизиты, Имя файла, Контрольная сумма
3.1.28 | Раздел 15 + Раздел 50: Отчёт по поиску и разведке подземных вод для целей водоснабжения | Отчётная документация: Поиск и разведка подземных вод – Наименование и реквизиты, Имя файла, Контрольная сумма
3.1.29 | Раздел 15 + Раздел 50: Отчёт по локальному мониторингу компонентов окружающей среды | Отчётная документация: Локальный мониторинг окружающей среды – Наименование и реквизиты, Имя файла, Контрольная сумма
3.1.30 | Раздел 15 + Раздел 50: Отчёт по разведке грунтовых строительных материалов | Отчётная документация: Разведка грунтовых строительных материалов – Наименование и реквизиты, Имя файла, Контрольная сумма
3.1.31 | Раздел 15 + Раздел 50: Отчёт по локальным обследованиям загрязнения грунтов и грунтовых вод | Отчётная документация: Локальные обследования загрязнения – Наименование и реквизиты, Имя файла, Контрольная сумма
3.1.32 | Раздел 9: Технические условия на подключение объекта капитального строительства к сетям инженерно-технического обеспечения | Документы подключения объекта строительства к инженерным сетям: Технические условия – Наименование и реквизиты, Имя файла, Контрольная сумма
3.1.33 | Раздел 9: Документ о согласовании отступлений от положений технических условий | Документы подключения: Согласование отступлений от ТУ – Наименование и реквизиты, Имя файла, Контрольная сумма
3.1.34 | Раздел 9: Технические условия на перенос и переустройство линий связи и сооружений связи | Документы подключения: ТУ на перенос линий связи – Наименование и реквизиты, Имя файла, Контрольная сумма
3.1.35 | Раздел 43: Специальные технические условия | Специальные технические условия (СТУ) – Наименование и реквизиты, Имя файла, Контрольная сумма
3.1.36 | Раздел 43: Документ о согласовании отступлений от положений специальных технических условий | СТУ: Согласование отступлений – Наименование и реквизиты, Имя файла, Контрольная сумма
3.1.37 | Раздел 50: Технические требования и условия, подлежащие обязательному исполнению при подготовке ПД в целях реконструкции линейных объектов | Технические требования и условия для реконструкции линейных объектов – Наименование и реквизиты, Имя файла, Контрольная сумма
3.1.38 | Раздел 50: Разрешение на строительство | Разрешения: Разрешение на строительство – Наименование и реквизиты, Имя файла, Контрольная сумма
3.1.39 | Раздел 50: Разрешение на ввод объектов в эксплуатацию | Разрешения: Разрешение на ввод – Наименование и реквизиты, Имя файла, Контрольная сумма
3.1.40 | Раздел 50: Акт освидетельствования проведения основных работ по строительству, реконструкции | Разрешения: Акт освидетельствования – Наименование и реквизиты, Имя файла, Контрольная сумма
3.1.41 | Раздел 50: Разрешение на условно разрешенный вид использования земельного участка или объекта капитального строительства | Разрешения: Разрешение на условно разрешенный вид использования – Наименование и реквизиты, Имя файла, Контрольная сумма
3.1.42 | Раздел 50: Разрешение на отклонение от предельных параметров разрешенного строительства, реконструкции объектов капитального строительства | Разрешения: Разрешение на отклонение от предельных параметров – Наименование и реквизиты, Имя файла, Контрольная сумма
3.1.43 | Раздел 50: Разрешение на застройку земельных участков на площадях залегания полезных ископаемых | Разрешения: Разрешение на застройку в местах залегания полезных ископаемых – Наименование и реквизиты, Имя файла, Контрольная сумма
3.1.44 | Раздел 50: Разрешение на установку радиопередающих средств на высотных зданиях | Разрешения: Разрешение на установку радиопередающих средств – Наименование и реквизиты, Имя файла, Контрольная сумма
3.1.45 | Раздел 50: Обоснование безопасности опасного производственного объекта | Документы о безопасности производственных объектов: Обоснование безопасности ОПО – Наименование и реквизиты, Имя файла, Контрольная сумма
3.1.46 | Раздел 50: Положительное заключение экспертизы промышленной безопасности обоснования безопасности ОПО | Документы о безопасности: Заключение экспертизы промбезопасности – Наименование и реквизиты, Имя файла, Контрольная сумма
3.1.47 | Раздел 50: Документ о регистрации в государственном реестре опасных производственных объектов | Документы о безопасности: Регистрация в госреестре ОПО – Наименование и реквизиты, Имя файла, Контрольная сумма
3.1.48 | – | Выписка из реестра членов саморегулируемой организации (прилагается к ПЗ)
3.2 | Технико-экономические показатели (ТЭП) | 
3.2.1 | Раздел 10 «Требования к основным ТЭП»: Наименование показателя мощности, Единица измерения, Значение (мин/макс) | Сведения о проектной мощности объекта: Наименование показателя, Единица измерения, Значение (проектное)
3.2.2 | Раздел 10: Площадь застройки (мин/макс) | Технико-экономические показатели: Площадь застройки (м²)
3.2.3 | Раздел 10: Общая площадь (мин/макс) | Технико-экономические показатели: Общая площадь (м²)
3.2.4 | Раздел 10: Строительный объём, в т.ч. подземной части (мин/макс) | Технико-экономические показатели: Строительный объём (м³), в т.ч. подземной части
3.2.5 | Раздел 10: Количество этажей, в т.ч. подземных (мин/макс) | Технико-экономические показатели: Количество этажей, в т.ч. подземных
3.2.6 | Раздел 10: Высота здания (мин/макс) | Технико-экономические показатели: Высота здания (м)
3.2.7 | Раздел 10: Вместимость (человек) (мин/макс) | Технико-экономические показатели: Вместимость (человек)
3.2.8 | Раздел 48 «Прочие дополнительные требования»: потребность в воде (тыс. м³/сут) | Сведения о потребности объекта в воде
3.2.9 | Раздел 48: потребность в газе (м³/ч) | Сведения о потребности объекта в газе
3.2.10 | Раздел 48: потребность в электрической энергии (кВт) | Сведения о потребности объекта в электричестве
3.2.11 | Раздел 48: потребность в тепле (МВт) | Сведения о потребности объекта в тепле
3.3 | Идентификационные признаки и безопасность | 
3.3.1 | Раздел 11.1 «Общие сведения и идентификационные признаки»: Код классификатора функционального назначения | Функциональное назначение по классификатору (код)
3.3.2 | Раздел 11.1: Функциональное назначение (неформализованное описание) | Функциональное назначение объекта капитального строительства
3.3.3 | Раздел 11.1: Принадлежность к объектам транспортной инфраструктуры | Сведения о принадлежности к объектам транспортной инфраструктуры
3.3.4 | Раздел 11.1: Принадлежность к опасным производственным объектам (класс опасности) | Сведения о принадлежности к опасным производственным объектам
3.3.5 | Раздел 11.1: Пожарная и взрывопожарная опасность (категория) | Сведения о пожарной и взрывопожарной опасности
3.3.6 | Раздел 11.1: Наличие помещений с постоянным пребыванием людей | Сведения о наличии помещений с постоянным пребыванием людей
3.3.7 | Раздел 11.1: Уровень ответственности | Сведения об уровне ответственности
3.3.8 | Раздел 11.1: Возможность опасных природных процессов и явлений и техногенных воздействий | Возможность опасных природных процессов и техногенных воздействий
3.4 | Природно-климатические и инженерно-геологические условия | 
3.4.1 | Раздел 19.1 «Общие сведения»: Климатический район, подрайон | Сведения о климатической характеристике: Климатический район, подрайон
3.4.2 | Раздел 19.1: Ветровой район | Сведения о климатической характеристике: Ветровой район
3.4.3 | Раздел 19.1: Снеговой район | Сведения о климатической характеристике: Снеговой район
3.4.4 | Раздел 19.1: Сейсмическая активность (баллов) | Сведения о климатической характеристике: Интенсивность сейсмических воздействий
3.4.5 | Раздел 19.1: Инженерно-геологические условия | Сведения о климатической характеристике: Категория сложности инженерно-геологических условий
3.4.6 | Раздел 19.1: Категория земель | Сведения о категории земель
3.4.7 | Раздел 19.2: Сведения о земельных участках, изымаемых для государственных или муниципальных нужд, о земельных участках, в отношении которых устанавливается сервитут, публичный сервитут и (или) заключается договор аренды (субаренды) | Сведения о земельных участках, изымаемых или обременяемых
3.5 | Финансирование и сроки | 
3.5.1 | Раздел 8 «Источник финансирования строительства объекта»: Источник финансирования, Наименование уровня бюджета / владельца средств, Доля финансирования, % | Сведения об источнике и размере финансирования
3.5.2 | Раздел 16 «Предполагаемая (предельная) стоимость строительства объекта» | (может быть отражено в сведениях о финансировании)
3.5.3 | Раздел 6.1: Срок начала строительства | Сведения о сроках проведения работ: Дата начала
3.5.4 | Раздел 6.1: Срок окончания строительства | Сведения о сроках проведения работ: Дата окончания
3.5.5 | Раздел 6.1: Срок ввода объекта в эксплуатацию | Сведения о сроках проведения работ: Дата ввода
3.5.6 | Раздел 7 «Требования к выделению этапов строительства объекта» | Сведения об этапах строительства
3.6 | Состав проектной документации и нормативная база | 
3.6.1 | Раздел 41 «Требования к составу проектной документации, в том числе требования о разработке разделов проектной документации, наличие которых не является обязательным» | Состав проектной документации (перечень разделов, подразделов, частей)
3.6.2 | Раздел 44 «Требования о применении при разработке проектной документации документов в области стандартизации» | Перечень документов, в результате применения которых обеспечивается соблюдение требований технических регламентов
3.6.3 | Раздел 46 «Требования о подготовке проектной документации, содержащей материалы в форме информационной модели» | Сведения о составе 3D модели объекта
3.7 | Прочие обязательные сведения | 
3.7.1 | Раздел 23 «Требования к технологическим решениям»: данные о численности работников | Данные о численности работников на объекте и их профессионально-квалификационном составе
3.7.2 | Раздел 36 «Требования о необходимости сноса или сохранения зданий, сооружений, вырубки или сохранения зеленых насаждений, реконструкции, капитального ремонта существующих линейных объектов» | Сведения о предполагаемых затратах, связанных со сносом, переселением, переносом сетей
3.7.3 | Раздел 38 «Требования к разработке проекта рекультивации земель» | Сведения о наличии проекта рекультивации земель
3.7.4 | Раздел 40 «Требования к выполнению научно-исследовательских и опытно-конструкторских работ в процессе проектирования и строительства объекта» | Сведения об использованных в проекте изобретениях, результатах проведенных патентных исследований
3.7.5 | Раздел 40: Результаты исследований | Результаты исследований
3.7.6 | Раздел 48: Расчеты и (или) испытания, выполненные по сертифицированным или апробированным иным способом методикам | Расчеты конструктивных, технологических и других решений
3.7.7 | Раздел 48: Моделирование сценариев возникновения опасных природных процессов и явлений и (или) техногенных воздействий | Моделирование сценариев
3.7.8 | Раздел 48: Оценка риска возникновения опасных природных процессов и явлений и (или) техногенных воздействий | Оценка риска
3.7.9 | Раздел 48: Прочие дополнительные требования – сведения о сырьевой базе, потребности производства в воде, топливно-энергетических ресурсах | Сведения о сырьевой базе, потребности в воде, топливно-энергетических ресурсах
3.7.10 | Раздел 48: Прочие дополнительные требования – сведения о комплексном использовании сырья, вторичных энергоресурсов, отходов производства | Сведения о комплексном использовании сырья, вторичных энергоресурсов, отходов производства
3.7.11 | Раздел 48: Прочие дополнительные требования – сведения об использовании возобновляемых источников энергии и вторичных энергетических ресурсов | Сведения об использовании возобновляемых источников энергии и вторичных энергетических ресурсов
3.7.12 | Раздел 47 «Требование о применении типовой проектной документации, типового проектного решения» | Документы в отношении типовой проектной документации повторного использования (положительное заключение, справка о неизменности, документ об аналогичности)
3.7.13 | – | Заверение проектной организации о соответствии проектной документации требованиям (стандартный текст)
4 | Документы разделов 49 и 50 (проверка при наличии в ТЗ) | 
4.1 | Документы раздела 49 «Перечень необходимых согласований» | 
4.1.1 | Раздел 49: Сведения о согласовании предварительной категории строящегося объекта транспортной инфраструктуры с компетентным органом в области обеспечения транспортной безопасности | Документы в области организации транспортной инфраструктуры: Согласование категории объекта – Наименование и реквизиты, Имя файла, Контрольная сумма
4.1.2 | Раздел 49: Согласование типов и конструкций устройств со специальными проходами, ограждающими опасные участки транспортных магистралей в местах концентрации объектов животного мира и на путях их миграции | Документы в области организации транспортной инфраструктуры: Согласование устройств на путях миграции животных – Наименование и реквизиты, Имя файла, Контрольная сумма
4.1.3 | Раздел 49: Решение о согласовании размещения объекта в границах полос воздушных подходов для аэродромов | Документы в области организации транспортной инфраструктуры: Решение о согласовании размещения в полосах воздушных подходов – Наименование и реквизиты, Имя файла, Контрольная сумма
4.1.4 | Раздел 49: Решение об установлении приаэродромной территории | Документы в области организации транспортной инфраструктуры: Решение об установлении приаэродромной территории – Наименование и реквизиты, Имя файла, Контрольная сумма
4.1.5 | Раздел 49: Сведения о зонах с особыми условиями использования территорий объектов инфраструктуры метрополитена | Документы в области организации транспортной инфраструктуры: Сведения о зонах метрополитена – Наименование и реквизиты, Имя файла, Контрольная сумма
4.1.6 | Раздел 49: Согласование проектных решений раздела по обеспечению сохранности объектов культурного наследия либо проектной документации по реставрации и приспособлению объекта культурного наследия | Документы в отношении объектов культурного наследия: Согласование проектных решений – Наименование и реквизиты, Имя файла, Контрольная сумма
4.1.7 | Раздел 49: Лицензия на пользование недрами | Документы в сфере охраны окружающей среды и недропользования: Лицензия на пользование недрами – Наименование и реквизиты, Имя файла, Контрольная сумма
4.1.8 | Раздел 49: Заключение о согласовании строительства и реконструкции объектов капитального строительства, внедрения новых технологических процессов, оказывающих воздействие на водные биологические ресурсы и среду их обитания | Документы в сфере охраны окружающей среды и недропользования: Согласование воздействия на водные биоресурсы – Наименование и реквизиты, Имя файла, Контрольная сумма
4.1.9 | Раздел 49: Согласование проектной документации в отношении строительства и эксплуатации в пластах горных пород различных видов хранилищ углеводородного сырья и продуктов его переработки | Документы в сфере охраны окружающей среды и недропользования: Согласование хранилищ углеводородного сырья – Наименование и реквизиты, Имя файла, Контрольная сумма
4.1.10 | Раздел 49: Заключение об отсутствии полезных ископаемых в недрах под участком предстоящей застройки | Документы в сфере охраны окружающей среды и недропользования: Заключение об отсутствии полезных ископаемых – Наименование и реквизиты, Имя файла, Контрольная сумма
4.1.11 | Раздел 49: Санитарно-эпидемиологическое заключение о соответствии санитарным правилам проекта зон санитарной охраны источника хозяйственно-питьевого водоснабжения | Документы в сфере охраны окружающей среды и недропользования: Санитарно-эпидемиологическое заключение по ЗСО – Наименование и реквизиты, Имя файла, Контрольная сумма
4.1.12 | Раздел 49: Документ о согласовании сооружения линий связи, электропередач, трубопроводов, дорог и других объектов на мелиорируемых (мелиорированных) землях | Документы в сфере охраны окружающей среды и недропользования: Согласование на мелиорируемых землях – Наименование и реквизиты, Имя файла, Контрольная сумма
4.1.13 | Раздел 49: Согласование плана предупреждения и ликвидации разливов нефти и нефтепродуктов | Документы в сфере охраны окружающей среды и недропользования: Согласование плана ЛРН – Наименование и реквизиты, Имя файла, Контрольная сумма
4.2 | Документы раздела 50 «Материалы, предоставляемые застройщиком (техническим заказчиком)» | 
4.2.1 | Раздел 50: Правоустанавливающие документы (Выписка из Единого государственного реестра недвижимости) | Правоустанавливающие документы: Выписка из ЕГРН – Наименование и реквизиты, Имя файла, Контрольная сумма
4.2.2 | Раздел 50: Иной правоустанавливающий документ | Иной правоустанавливающий документ – Наименование и реквизиты, Имя файла, Контрольная сумма
4.2.3 | Раздел 50: Градостроительный план земельного участка | Документы размещения объекта строительства: ГПЗУ – Наименование и реквизиты, Имя файла, Контрольная сумма
4.2.4 | Раздел 50: Проект планировки территории | Документы размещения объекта строительства: Проект планировки территории – Наименование и реквизиты, Имя файла, Контрольная сумма
4.2.5 | Раздел 50: Проект межевания территории | Документы размещения объекта строительства: Проект межевания территории – Наименование и реквизиты, Имя файла, Контрольная сумма
4.2.6 | Раздел 50: Согласование включения в границы территории, подлежащей комплексному развитию по инициативе правообладателей земельных участков, для размещения объектов коммунальной, транспортной, социальной инфраструктур, находящихся в государственной и (или) муниципальной собственности и не обремененных правами третьих лиц | Согласование включения в границы территории комплексного развития – Наименование и реквизиты, Имя файла, Контрольная сумма
4.2.7 | Раздел 50: Согласование при осуществлении строительства помещений и сооружений, необходимых для организации пограничного, таможенного и иных видов контроля в пункте пропуска через Государственную границу | Согласование для пункта пропуска через госграницу – Наименование и реквизиты, Имя файла, Контрольная сумма
4.2.8 | Раздел 50: Заключение экспертизы проектной документации и/или результатов инженерных изысканий, выданное ранее в отношении этого же объекта | Заключения экспертиз: ранее выданное заключение – Наименование и реквизиты, Имя файла, Контрольная сумма
4.2.9 | Раздел 50: Заключение по результатам оценки соответствия в рамках экспертного сопровождения | Заключения экспертиз: экспертное сопровождение – Наименование и реквизиты, Имя файла, Контрольная сумма
4.2.10 | Раздел 50: Заключение государственной экологической экспертизы | Заключения экспертиз: экологическая экспертиза – Наименование и реквизиты, Имя файла, Контрольная сумма
4.2.11 | Раздел 50: Заключение государственной историко-культурной экспертизы | Заключения экспертиз: историко-культурная экспертиза – Наименование и реквизиты, Имя файла, Контрольная сумма
4.2.12 | Раздел 50: Сводное заключение о проведении публичного технологического аудита крупного инвестиционного проекта с государственным участием | Заключения экспертиз: технологический аудит – Наименование и реквизиты, Имя файла, Контрольная сумма
4.2.13 | Раздел 50: Заключение технологического и ценового аудита обоснования инвестиций | Заключения экспертиз: технологический и ценовой аудит – Наименование и реквизиты, Имя файла, Контрольная сумма
4.2.14 | Раздел 50: Заключение государственной экспертизы запасов подземных вод | Заключения экспертиз: экспертиза запасов подземных вод – Наименование и реквизиты, Имя файла, Контрольная сумма
4.2.15 | Раздел 50: Заключение государственной экспертизы запасов полезных ископаемых | Заключения экспертиз: экспертиза запасов полезных ископаемых – Наименование и реквизиты, Имя файла, Контрольная сумма
4.2.16 | Раздел 50: Иные заключения | Иные заключения экспертиз – Наименование и реквизиты, Имя файла, Контрольная сумма
4.2.17 | Раздел 50: Технические требования и условия, подлежащие обязательному исполнению при подготовке проектной документации в целях реконструкции, капитального ремонта существующих линейного объекта или линейных объектов, а также при осуществлении таких реконструкций, капитального ремонта | Технические требования и условия для реконструкции линейных объектов – Наименование и реквизиты, Имя файла, Контрольная сумма
4.2.18 | Раздел 50: Разрешение на строительство | Разрешения: Разрешение на строительство – Наименование и реквизиты, Имя файла, Контрольная сумма
4.2.19 | Раздел 50: Разрешение на ввод объектов в эксплуатацию | Разрешения: Разрешение на ввод – Наименование и реквизиты, Имя файла, Контрольная сумма
4.2.20 | Раздел 50: Акт освидетельствования проведения основных работ по строительству, реконструкции | Разрешения: Акт освидетельствования – Наименование и реквизиты, Имя файла, Контрольная сумма
4.2.21 | Раздел 50: Разрешение на условно разрешенный вид использования земельного участка или объекта капитального строительства | Разрешения: Разрешение на условно разрешенный вид использования – Наименование и реквизиты, Имя файла, Контрольная сумма
4.2.22 | Раздел 50: Разрешение на отклонение от предельных параметров разрешенного строительства, реконструкции объектов капитального строительства | Разрешения: Разрешение на отклонение от предельных параметров – Наименование и реквизиты, Имя файла, Контрольная сумма
4.2.23 | Раздел 50: Разрешение на застройку земельных участков, которые расположены за границами населенных пунктов и находятся на площадях залегания полезных ископаемых, а также на размещение за границами населенных пунктов в местах залегания полезных ископаемых подземных сооружений в пределах горного отвода | Разрешения: Разрешение на застройку в местах залегания полезных ископаемых – Наименование и реквизиты, Имя файла, Контрольная сумма
4.2.24 | Раздел 50: Разрешение на установку радиопередающих средств на высотных зданиях | Разрешения: Разрешение на установку радиопередающих средств – Наименование и реквизиты, Имя файла, Контрольная сумма
4.2.25 | Раздел 50: Обоснование безопасности опасного производственного объекта в случаях, предусмотренных частью 4 статьи 3 Федерального закона «О промышленной безопасности опасных производственных объектов» | Документы о безопасности производственных объектов: Обоснование безопасности ОПО – Наименование и реквизиты, Имя файла, Контрольная сумма
4.2.26 | Раздел 50: Положительное заключение экспертизы промышленной безопасности обоснования безопасности опасного производственного объекта, внесенное в реестр заключений экспертизы промышленной безопасности | Документы о безопасности: Заключение экспертизы промбезопасности – Наименование и реквизиты, Имя файла, Контрольная сумма
4.2.27 | Раздел 50: Документ о регистрации в государственном реестре опасных производственных объектов | Документы о безопасности: Регистрация в госреестре ОПО – Наименование и реквизиты, Имя файла, Контрольная сумма
4.2.28 | Раздел 50: Сведения о размерах водоохранных зон и прибрежных защитных полос, затрагиваемых в ходе строительства, поверхностных водных объектов | Документы в сфере охраны окружающей среды: Сведения о водоохранных зонах – Наименование и реквизиты, Имя файла, Контрольная сумма
4.2.29 | Раздел 50: Сведения о наличии и месторасположении в районе размещения проектируемого объекта зон санитарной охраны источников водоснабжения (поверхностных и подземных) | Документы в сфере охраны окружающей среды: Сведения о зонах санитарной охраны – Наименование и реквизиты, Имя файла, Контрольная сумма
4.2.30 | Раздел 50: Решение об установлении, изменении или о прекращении существования санитарно-защитной зоны | Документы в сфере охраны окружающей среды: Решение о санитарно-защитной зоне – Наименование и реквизиты, Имя файла, Контрольная сумма
